filename	likes	comments	timePOSIX	distance	lat	long
1110835256254586238_2218965566.jpg	42	6	1446641880	1496.59382766175	36.379541229	44.203647621
1110385468290110811_346478076.jpg	118	2	1446588240	2646.75644193031	36.86222222	-2.44166667
1108941915292498658_15980829.jpg	19	1	1446416160	2407.9859391808	48.811820998	2.402950706
1108528027371364105_2218965566.jpg	57	16	1446370440	1483.1553119648	36.163268486	44.013517302
1106434071171962607_2112241540.jpg	18	1	1446117240	462.996674718512	41.0186	28.9647
1102569486912828359_248977027.jpg	16	7	1445656500	9989.47342165209	-3.333333333	114.583333333
1097286609759952258_2218965566.jpg	53	24	1445026740	1522.63519267111	36.652146834	44.540314419
1096157799823030854_259723693.jpg	40	1	1444892160	5791.78731747918	50.4519	100.167
1095587561854195677_1664047548.jpg	36	4	1444824180	1497.2062894931	36.852902	44.2811179
1095053021733625777_1991512470.jpg	50	0	1444760460	482.860926592547	41.130119939	29.269133722
1094730699195796278_282689593.jpg	50	4	1444722060	811.707524650309	33.8869	35.5131
1094223774655960169_1664047548.jpg	29	2	1444661640	1497.647872209	36.866712983	44.287860979
1093163060432839190_1221462919.jpg	1	0	1444535160	11216.2835564332	17.474181551	-91.425243673
1092646473736955568_367237856.jpg	14	2	1444473600	2156.35597495259	41.780670686	3.030291941
1090008553536003137_1991512470.jpg	50	2	1444159140	482.860926592547	41.130119939	29.269133722
1090008141227531316_1991512470.jpg	44	0	1444159080	482.860926592547	41.130119939	29.269133722
1090007792420822055_1991512470.jpg	43	0	1444159020	482.860926592547	41.130119939	29.269133722
1090007546508778527_1991512470.jpg	40	2	1444159020	482.860926592547	41.130119939	29.269133722
1090007302811327513_1991512470.jpg	33	1	1444158960	482.860926592547	41.130119939	29.269133722
1090007073307401236_1991512470.jpg	41	2	1444158960	482.860926592547	41.130119939	29.269133722
1090006770151496716_1991512470.jpg	32	3	1444158900	482.860926592547	41.130119939	29.269133722
1090006513661418500_1991512470.jpg	33	3	1444158900	482.860926592547	41.130119939	29.269133722
1089646869482226074_1578026711.jpg	18	0	1444116000	2042.19305777798	52.516666667	13.383333333
1088318526786814525_1578026711.jpg	15	0	1443957660	1959.78989795614	48.1	8.7
1084139940105394910_846959837.jpg	12	2	1443459540	5323.72568918951	-8.890416519	13.201255599
1083432984903229473_1530436607.jpg	91	13	1443375240	1532.72122823485	36.5475	44.6381
1082900207951664916_1664047548.jpg	39	8	1443311760	1497.2062894931	36.852902	44.2811179
1082010190754275897_655074279.jpg	20	0	1443205680	4838.77992369418	18.9447	72.8244
1081051157313021493_1571737744.jpg	15	0	1443091320	459.546142723044	41.0088387	28.8643208
1080621129767352709_803446053.jpg	21	2	1443040080	2112.83396295091	45.770583	4.831558
1080557036064427762_2110482770.jpg	27	0	1443032400	342.434236454066	37.9754219	23.740839
1079831491491818595_12577458.jpg	69	0	1442945940	10514.9194312137	29.750218441	-95.478930064
1079794683479498202_1991512470.jpg	63	0	1442941560	482.860926592547	41.130119939	29.269133722
1079620341286397533_268447648.jpg	22	1	1442920740	1785.80163462158	45.46427951	9.191714625
1079082938419153908_219847593.jpg	36	0	1442856720	2111.65231698828	45.7597	4.8422
1078369350272314666_12577458.jpg	40	4	1442771640	10514.9194312137	29.750218441	-95.478930064
1078147190546407482_9046703.jpg	11	0	1442745180	16.588099057139	36.966103319	27.265822501
